info_id,overview,rating,votes_count,runtime
72,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,8.3,,45.0
73,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",5.7,,95.0
74,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,6.6,848.0,32.0
75,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",8.6,,50.0
76,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,7.7,,
77,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",6.9,,118.0
78,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",8.6,,47.0
79,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",7.5,,60.0
80,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.1,,44.0
81,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",6.5,,31.0
82,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",7.5,,45.0
83,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.,6.9,,104.0
84,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",8.4,,45.0
85,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.1,,127.0
86,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",8.1,,22.0
87,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",8.6,,54.0
88,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",8.8,,60.0
89,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,8.4,,24.0
90,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.6,,30.0
91,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",7.1,,92.0
92,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,7.8,,42.0
93,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",8.4,,60.0
94,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",7.5,,45.0
95,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",7.1,,88.0
96,"After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",5.6,,109.0
97,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5,,42.0
98,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",8.0,,59.0
99,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,7.4,,42.0
100,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.3,,60.0
101,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",8.2,,30.0
102,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,8.3,,55.0
103,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.8,,45.0
104,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,9.1,,88.0
105,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",7.4,,
106,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,8.0,,42.0
107,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,7.6,,60.0
108,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",8.0,,60.0
109,The adventures of Superman's cousin in her own superhero career.,6.2,,43.0
110,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",8.7,,25.0
111,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,,178.0
112,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",7.8,,16.0
113,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,,22.0
114,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7,,60.0
115,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",7.2,,60.0
116,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,7.6,,41.0
117,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,8.1,,43.0
118,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",8.0,,45.0
119,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,8.8,,22.0
120,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,,55.0
121,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,7.3,,42.0
122,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",7.3,,48.0
123,Anthology series that examines how and why ordinary people commit brutal crimes.,7.9,,45.0
124,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",8.7,,22.0
125,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,6.4,,99.0
126,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,,45.0
127,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",8.6,,60.0
128,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",8.0,,124.0
129,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3,,23.0
130,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",8.5,,53.0
131,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",7.8,,44.0
132,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,,151.0
133,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.8,,49.0
134,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",7.6,,58.0
135,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.3,,23.0
136,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",7.0,,50.0
137,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,6.7,,109.0
138,Revolves around a family of New York cops.,7.6,,43.0
139,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,6.8,846.0,41.0
140,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",5.7,,100.0
141,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",6.5,,40.0
142,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.",7.1,,
143,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,,149.0
144,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",6.9,,119.0
145,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,,101.0
146,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,8.7,,51.0
147,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.7,,20.0
148,Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »,6.3,,136.0
149,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",8.7,,25.0
150,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated.",7.8,,60.0
151,"Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.",8.3,,43.0
152,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,8.2,,22.0
153,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",8.4,,44.0
154,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,6.7,,44.0
155,"A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.",8.7,,87.0
156,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.1,,111.0
157,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.",5.0,398.0,91.0
158,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,8.3,,23.0
159,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7.6,,117.0
160,Four friends in a small coastal town help each other cope with adolescence.,6.6,,60.0
161,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,,135.0
162,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4,,44.0
163,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",8.3,,50.0
164,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,8.6,,22.0
165,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5,,129.0
166,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,8.8,,47.0
167,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",7.7,,113.0
168,A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.,7.9,,45.0
169,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",8.5,,15.0
170,"When an ambitious realtor and her daughter are held hostage during an open house, they must work together to outsmart their captors.",3.7,315.0,85.0
171,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",7.8,,169.0
172,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.8,,97.0
173,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",8.3,,60.0
174,Animated series set in the world of battling Autobots and Decepticons.,7.4,,30.0
175,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",5.5,,116.0
176,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",8.4,,23.0
177,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.",6.9,,60.0
178,"Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada.",7.7,,30.0
179,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,7.1,,138.0
180,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",8.4,,48.0
181,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.1,,137.0
182,"The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.",6.0,,60.0
183,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.",5.6,,92.0
184,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,6.5,,55.0
185,"On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.",4.6,,40.0
186,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.9,,135.0
187,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,8.5,,44.0
188,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",8.3,,60.0
189,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,7.6,,121.0
190,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,8.1,,60.0
191,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,7.8,,209.0
192,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,8.7,,24.0
193,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,,201.0
194,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.6,,113.0
195,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,7.3,,42.0
196,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",7.3,,121.0
197,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",6.7,,123.0
198,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,6.3,,118.0
199,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.",7.0,,109.0
200,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.",4.8,,96.0
201,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",8.6,,572.0
202,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.",5.3,,121.0
203,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",6.7,,43.0
204,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,7.9,,116.0
205,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",8.2,,114.0
206,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",7.2,,110.0
207,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",7.9,,467.0
208,The histories of classic popular movies are examined.,7.8,,45.0
209,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,7.5,,45.0
210,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",7.2,,140.0
211,"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.",7.5,,
212,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.",6.7,,56.0
213,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,7.5,,60.0
214,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,,,
215,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",8.2,,40.0
216,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,7.1,,112.0
217,Plot unknown. Sequel to the 2019 film 'Knives Out'.,,,
218,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,7.2,,44.0
219,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,6.7,,125.0
220,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",6.7,,112.0
221,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",8.2,,45.0
222,"The story of two low-level astronomers, who must go on a giant media tour to warn mankind of an approaching comet that will destroy planet earth.",,,145.0
223,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,8.2,,46.0
224,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",6.1,,128.0
