info_id,movie_id,runtime,rating,votes_count,overview
35,35,45.0,8.4,34906,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
36,436,45.0,8.4,34906,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
37,1362,45.0,8.4,34906,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
38,36,22.0,8.4,378030,Three different but related families face trials and tribulations in their own uniquely comedic ways.
39,37,45.0,7.7,73656,A team of young superheroes combat evil and other perils.
40,38,60.0,8.2,336484,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
41,39,58.0,8.7,171804,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
42,40,24.0,9.0,242582,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
43,41,44.0,8.4,374263,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
44,42,70.0,8.3,341858,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
45,43,22.0,8.5,90728,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
46,44,64.0,8.4,134991,An English combat nurse from 1945 is mysteriously swept back in time to 1743.
47,45,60.0,8.4,94650,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright."
48,46,60.0,8.8,469407,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
49,47,60.0,8.4,206090,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
50,48,58.0,8.6,169517,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
51,49,,7.9,37142,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.
52,50,148.0,5.8,132378,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted."
53,51,53.0,8.9,341221,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
54,52,22.0,8.3,624036,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
55,53,22.0,8.5,231013,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
56,54,45.0,8.5,270445,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
57,55,44.0,7.9,22971,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2."
58,56,43.0,7.7,293434,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
59,57,114.0,3.3,63620,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
60,58,30.0,7.9,23960,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom."
61,59,43.0,7.8,38618,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.
62,60,60.0,7.6,266386,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
63,61,395.0,8.6,336801,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
64,62,42.0,6.8,95897,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
65,63,44.0,8.6,106181,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before."
66,64,110.0,5.4,2606,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation."
67,65,101.0,5.7,1591,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown."
68,66,42.0,7.7,15048,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work."
69,67,60.0,8.5,119644,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war."
70,68,43.0,8.1,27709,A new medical director breaks the rules to heal the system at America's oldest public hospital.
71,69,60.0,8.7,46751,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
72,70,43.0,7.6,226962,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet."
73,71,22.0,7.7,200421,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
74,72,44.0,8.3,492438,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
75,73,45.0,8.3,177274,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
76,74,95.0,5.7,8822,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
77,75,32.0,6.6,848,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.
78,76,50.0,8.6,16954,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated."
79,77,,7.7,60283,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
80,78,118.0,6.9,205979,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
81,79,47.0,8.6,216203,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
82,80,60.0,7.5,59730,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
83,81,44.0,8.1,106650,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
84,82,31.0,6.5,6940,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian."
85,83,45.0,7.5,84428,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
86,84,104.0,6.9,2353,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.
87,85,45.0,8.4,11764,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times."
88,86,127.0,8.1,897444,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
89,87,22.0,8.1,312584,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another."
90,88,54.0,8.6,374963,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
91,89,60.0,8.8,312629,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
92,90,24.0,8.4,44367,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
93,91,30.0,8.6,122268,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
94,35,92.0,7.1,6388,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
95,436,92.0,7.1,6388,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
96,1362,92.0,7.1,6388,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
97,93,42.0,7.8,216458,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
98,94,60.0,8.4,74094,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures."
99,95,45.0,7.5,205119,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
100,96,88.0,7.1,237601,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
101,97,109.0,5.6,20561,"After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners."
102,98,42.0,7.5,414712,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
103,99,59.0,8.0,284554,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
104,100,42.0,7.4,159666,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
105,101,60.0,7.3,83944,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
106,102,30.0,8.2,33440,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach."
107,103,55.0,8.3,322307,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
108,104,45.0,6.8,126112,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
109,105,88.0,9.1,839029,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
110,106,,7.4,1336,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman."
111,107,42.0,8.0,23318,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
112,108,60.0,7.6,78589,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.
113,109,60.0,8.0,175513,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
114,110,43.0,6.2,115373,The adventures of Superman's cousin in her own superhero career.
115,111,25.0,8.7,124318,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
116,112,178.0,8.8,1713028,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
117,113,16.0,7.8,8095,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave."
118,114,22.0,8.7,340148,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
119,115,60.0,7.7,212616,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
120,116,60.0,7.2,101079,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
121,117,41.0,7.6,132950,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
122,118,43.0,8.1,136135,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
123,119,45.0,8.0,55687,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
124,120,22.0,8.8,264801,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
125,121,55.0,8.5,228484,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
126,122,42.0,7.3,68627,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.
127,123,48.0,7.3,8268,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo."
128,124,45.0,7.9,96901,Anthology series that examines how and why ordinary people commit brutal crimes.
129,125,22.0,8.7,284373,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
130,126,99.0,6.4,99351,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.
131,127,45.0,7.7,157666,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
132,128,60.0,8.6,235694,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
133,129,124.0,8.0,558731,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
134,130,23.0,9.3,265845,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
135,1420,23.0,9.3,265845,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
136,131,53.0,8.5,194777,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
137,132,44.0,7.8,61917,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home."
138,133,151.0,8.5,1227522,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
139,134,49.0,8.8,375261,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
140,135,58.0,7.6,33936,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail."
141,136,23.0,8.3,71904,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
142,137,50.0,7.0,20330,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
143,138,109.0,6.7,26508,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.
144,139,43.0,7.6,34064,Revolves around a family of New York cops.
145,140,41.0,6.8,846,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.
146,1106,41.0,6.8,846,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.
147,141,100.0,5.7,57048,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence."
148,142,40.0,6.5,25453,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
149,143,,7.1,8391,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed."
150,144,149.0,8.1,895888,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
151,145,119.0,6.9,337900,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
152,146,101.0,7.6,517014,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
153,147,51.0,8.7,476656,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
154,148,20.0,7.7,8300,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city."
155,149,136.0,6.3,8466,Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ... See full summary »
156,150,25.0,8.7,46259,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
157,151,60.0,7.8,41758,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated."
158,152,43.0,8.3,70021,"Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
159,153,22.0,8.2,127417,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
160,154,44.0,8.4,88962,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family."
161,155,44.0,6.7,139934,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.
162,156,87.0,8.7,31108,"A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year."
163,157,111.0,8.1,1034554,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
164,158,91.0,5.0,398,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident."
165,159,23.0,8.3,51802,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.
166,160,117.0,7.6,751815,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
167,161,60.0,6.6,38117,Four friends in a small coastal town help each other cope with adolescence.
168,162,135.0,7.3,480607,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
169,163,44.0,7.4,155875,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
170,164,50.0,8.3,76213,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
171,165,22.0,8.6,141784,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
172,166,129.0,7.5,363012,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
173,167,47.0,8.8,182173,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
174,168,113.0,7.7,69482,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
175,169,45.0,7.9,16183,A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.
176,170,15.0,8.5,120364,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
177,171,85.0,3.7,315,"When an ambitious realtor and her daughter are held hostage during an open house, they must work together to outsmart their captors."
178,172,169.0,7.8,774632,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
179,173,97.0,6.8,194461,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
180,174,60.0,8.3,79618,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
181,175,30.0,7.4,2923,Animated series set in the world of battling Autobots and Decepticons.
182,176,116.0,5.5,170844,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
183,177,23.0,8.4,14759,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
184,178,60.0,6.9,39433,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out."
185,310,60.0,6.9,39433,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out."
186,179,30.0,7.7,12896,"Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada."
187,180,138.0,7.1,108684,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
188,181,48.0,8.4,100611,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
189,182,137.0,7.1,371194,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
190,183,60.0,6.0,5667,"The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department."
191,184,92.0,5.6,8099,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true."
192,185,55.0,6.5,118859,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
193,186,40.0,4.6,10008,"On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex."
194,187,135.0,6.9,18149,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
195,188,44.0,8.5,236161,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
196,189,60.0,8.3,30685,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
197,190,121.0,7.6,387903,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
198,191,60.0,8.1,89590,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.
199,192,209.0,7.8,345455,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
200,193,24.0,8.7,25386,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
201,194,201.0,8.9,1691777,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
202,195,113.0,7.6,468655,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
203,196,42.0,7.3,16666,Follows two of America's wealthiest families as they feud for control over their fortune and their children.
204,197,121.0,7.3,709684,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
205,198,123.0,6.7,205638,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
206,199,118.0,6.3,109059,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.
207,200,109.0,7.0,100693,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex."
208,201,96.0,4.8,16262,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter."
209,202,572.0,8.6,195117,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
210,203,121.0,5.3,24250,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history."
211,204,43.0,6.7,49943,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
